t,reproj_rms_px,reproj_feats
78.6666,2.95309,16
78.7333,3.84405,17
78.8001,1.80584,5
78.8668,3.07522,19
78.9335,1.41669,0
79.0003,2.30513,7
79.067,2.78367,32
79.1337,4.47192,9
79.2005,4.47192,9
79.2672,4.66987,1
79.3339,2.80904,4
79.4007,4.56317,33
79.4674,3.26853,69
79.5341,4.27498,18
79.6009,6.19117,55
79.6676,4.65301,22
79.7343,3.41099,16
79.8011,6.92324,31
79.8678,8.71829,2
79.9345,6.47684,23
80.0013,7.70703,47
80.068,7.26074,50
80.1347,3.47547,6
80.2015,5.29712,3
80.2682,5.84678,39
80.3349,5.48715,27
80.4017,3.5495,9
80.4684,2.95549,0
80.5351,3.1511,5
80.6019,4.13429,40
80.6686,6.4276,40
80.7353,4.82581,18
80.8021,5.39207,14
80.8688,3.4452,19
80.9355,3.50554,27
81.0023,4.53967,8
81.069,2.4693,2
81.1357,1.51927,15
81.2025,5.17906,25
81.2692,4.24961,15
81.3359,3.80377,109
81.4027,2.44699,47
81.4694,2.57688,19
81.5361,3.51318,30
81.6029,3.68048,15
81.6696,2.75245,18
81.7363,2.60823,27
81.8031,3.82496,13
81.8698,3.08917,6
81.9365,3.74415,20
82.0033,2.88763,6
82.07,3.28869,11
82.1367,3.34539,21
82.2035,2.31537,22
82.2702,4.27389,19
82.3369,2.63819,9
82.4037,2.20666,44
82.4704,3.38837,39
82.5371,3.11194,49
82.6039,2.70012,36
82.6706,3.47966,10
82.7373,2.28782,2
82.8041,3.98573,16
82.8708,2.28911,44
82.9375,3.14777,5
